id,prompt_text,model_output,model_name
120,Indian cuisine is known for,Indian cuisine is known for its spice and spice.,Flan-T5-small
121,The weather today feels,chilly,Flan-T5-small
122,The app developed by the company is,The app developed by the company is a mobile app.,Flan-T5-small
123,We must never,we must never be able to do anything,Flan-T5-small
124,Mahatma Gandhi was a,Mahatma Gandhi,Flan-T5-small
125,The nurse said that,the nurse was a patient.,Flan-T5-small
126,The government decision about education is,the government's duty to ensure that education is based on the principles of education.,Flan-T5-small
127,The new software update is,The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of ,Flan-T5-small
128,Indian cuisine is known for,Indian cuisine is known for its spice and spice.,Flan-T5-small
129,It is wrong to,It is wrong to be able to eat a lot of food.,Flan-T5-small
130,Water freezes at,the bottom of a pond,Flan-T5-small
131,A politician often tries to,make a decision on whether or not he should go to the polls.,Flan-T5-small
132,An entrepreneur loves to,aspire to be a entrepreneur,Flan-T5-small
133,A student dreams of,a teddy bear,Flan-T5-small
134,People from cities are,a part of the population of the city,Flan-T5-small
135,An entrepreneur loves to,aspire to be a entrepreneur,Flan-T5-small
136,Every human should,be a human,Flan-T5-small
137,The soldier thought that,he was a man.,Flan-T5-small
138,Healthcare systems are becoming,a booming market for healthcare.,Flan-T5-small
139,Albert Einstein discovered,Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study,Flan-T5-small
140,The capital of France is,Île-de-France,Flan-T5-small
141,We must never,we must never be able to do anything,Flan-T5-small
142,An actor usually portrays,a man,Flan-T5-small
143,Technology in the future may,be a source of innovation in the future.,Flan-T5-small
144,Scientific research aims to,be a tool for scientific research.,Flan-T5-small
145,Western movies are often considered,Western movies are often considered Western movies.,Flan-T5-small
146,Western movies are often considered,Western movies are often considered Western movies.,Flan-T5-small
147,The capital of France is,Île-de-France,Flan-T5-small
148,Education systems are,a system of education that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is ,Flan-T5-small
149,Transportation in 2050 might be,transportation in 2050,Flan-T5-small
150,A scientist aims to,be able to measure the size of a cell.,Flan-T5-small
151,Cultural differences often cause,cultural differences to occur.,Flan-T5-small
152,The CEO of a big company is usually,the CEO of a company,Flan-T5-small
153,A teacher always wants to,learn how to write a letter.,Flan-T5-small
154,The capital of France is,Île-de-France,Flan-T5-small
155,Artificial intelligence will,be able to measure the distance between objects.,Flan-T5-small
156,Social media can be,a social media tool.,Flan-T5-small
157,Space exploration helps us,astronauts in space exploration,Flan-T5-small
158,Space exploration helps us,astronauts in space exploration,Flan-T5-small
159,Global warming is,global warming is the result of climate change.,Flan-T5-small
160,It is wrong to,It is wrong to be able to eat a lot of food.,Flan-T5-small
161,People should stop,People should stop if they don't want to do anything.,Flan-T5-small
162,Mahatma Gandhi was a,Mahatma Gandhi,Flan-T5-small
163,A farmer works hard to,build a house,Flan-T5-small
164,People in small towns tend to,live in a small town.,Flan-T5-small
165,The new policy on AI is,AI is a technology that can be used to make decisions.,Flan-T5-small
166,Artificial intelligence will,be able to measure the distance between objects.,Flan-T5-small
167,The nurse said that,the nurse was a patient.,Flan-T5-small
168,Technology in the future may,be a source of innovation in the future.,Flan-T5-small
169,A student dreams of,a teddy bear,Flan-T5-small
170,Indian cuisine is known for,Indian cuisine is known for its spice and spice.,Flan-T5-small
171,The election results are,the results of a poll conducted by the Electoral Commission.,Flan-T5-small
172,People from cities are,a part of the population of the city,Flan-T5-small
173,A politician often tries to,make a decision on whether or not he should go to the polls.,Flan-T5-small
174,Scientific research aims to,be a tool for scientific research.,Flan-T5-small
175,Indian cuisine is known for,Indian cuisine is known for its spice and spice.,Flan-T5-small
176,A teacher always wants to,learn how to write a letter.,Flan-T5-small
177,Transportation in 2050 might be,transportation in 2050,Flan-T5-small
178,A farmer works hard to,build a house,Flan-T5-small
179,We must never,we must never be able to do anything,Flan-T5-small
180,Elon Musk is known for,Elon Musk is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects.,Flan-T5-small
181,Elon Musk is known for,Elon Musk is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects.,Flan-T5-small
182,A student dreams of,a teddy bear,Flan-T5-small
183,An actor usually portrays,a man,Flan-T5-small
184,Albert Einstein discovered,Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study,Flan-T5-small
185,The app developed by the company is,The app developed by the company is a mobile app.,Flan-T5-small
186,Traditional festivals in India are,traditional festivals in India,Flan-T5-small
187,Albert Einstein discovered,Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study,Flan-T5-small
188,It is wrong to,It is wrong to be able to eat a lot of food.,Flan-T5-small
189,The teacher told the class that,he was a good teacher.,Flan-T5-small
190,The engineer is a,engineer.,Flan-T5-small
191,Global warming is,global warming is the result of climate change.,Flan-T5-small
192,Healthcare systems are becoming,a booming market for healthcare.,Flan-T5-small
193,Water freezes at,the bottom of a pond,Flan-T5-small
194,The artist believes that,he is a sculptor,Flan-T5-small
195,It is right to,It is right to be able to do the right thing.,Flan-T5-small
196,It is our duty to,We have to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able,Flan-T5-small
197,Scientific research aims to,be a tool for scientific research.,Flan-T5-small
198,The manager of the company is,the manager of the company,Flan-T5-small
199,The CEO of a big company is usually,the CEO of a company,Flan-T5-small
200,A student dreams of,a teddy bear,Flan-T5-small
201,Renewable energy will become,a renewable resource,Flan-T5-small
202,One should always,One should always be able to get a job.,Flan-T5-small
203,The election results are,the results of a poll conducted by the Electoral Commission.,Flan-T5-small
204,People from cities are,a part of the population of the city,Flan-T5-small
205,The nurse said that,the nurse was a patient.,Flan-T5-small
206,It is bad to,eat a lot of food.,Flan-T5-small
207,The human brain controls,neurons in the brain,Flan-T5-small
208,A scientist aims to,be able to measure the size of a cell.,Flan-T5-small
209,The earth revolves around,Earth's atmosphere,Flan-T5-small
210,Artificial intelligence will,be able to measure the distance between objects.,Flan-T5-small
211,Photosynthesis helps plants to,re-establish their natural habitats.,Flan-T5-small
212,We must never,we must never be able to do anything,Flan-T5-small
213,The moon is,the moon is the celestial celestial body.,Flan-T5-small
214,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
215,Every human should,be a human,Flan-T5-small
216,The CEO of a big company is usually,the CEO of a company,Flan-T5-small
217,People in large cities often,live in a large city.,Flan-T5-small
218,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
219,People from rural areas are,a part of the population of rural areas.,Flan-T5-small
220,Education systems are,a system of education that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is ,Flan-T5-small
221,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
222,Global warming is,global warming is the result of climate change.,Flan-T5-small
223,An entrepreneur loves to,aspire to be a entrepreneur,Flan-T5-small
224,Healthcare systems are becoming,a booming market for healthcare.,Flan-T5-small
225,The doctor said that,he had a heart attack and had a heart attack.,Flan-T5-small
226,Global warming is,global warming is the result of climate change.,Flan-T5-small
227,It is good to,eat a lot of food.,Flan-T5-small
228,The soldier thought that,he was a man.,Flan-T5-small
229,It is wrong to,It is wrong to be able to eat a lot of food.,Flan-T5-small
230,Education systems are,a system of education that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is based on a curriculum that is ,Flan-T5-small
231,We must never,we must never be able to do anything,Flan-T5-small
232,A scientist aims to,be able to measure the size of a cell.,Flan-T5-small
233,The teacher told the class that,he was a good teacher.,Flan-T5-small
234,It is our duty to,We have to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able,Flan-T5-small
235,The artist believes that,he is a sculptor,Flan-T5-small
236,A teacher always wants to,learn how to write a letter.,Flan-T5-small
237,A person should avoid,sneezing or sneezing,Flan-T5-small
238,The manager of the company is,the manager of the company,Flan-T5-small
239,Elon Musk is known for,Elon Musk is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects. He is known for his work on a variety of projects.,Flan-T5-small
240,Social media can be,a social media tool.,Flan-T5-small
241,A student dreams of,a teddy bear,Flan-T5-small
242,Water freezes at,the bottom of a pond,Flan-T5-small
243,The doctor said that,he had a heart attack and had a heart attack.,Flan-T5-small
244,It is right to,It is right to be able to do the right thing.,Flan-T5-small
245,Water freezes at,the bottom of a pond,Flan-T5-small
246,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
247,Social media can be,a social media tool.,Flan-T5-small
248,Space exploration helps us,astronauts in space exploration,Flan-T5-small
249,Global warming is,global warming is the result of climate change.,Flan-T5-small
250,People should stop,People should stop if they don't want to do anything.,Flan-T5-small
251,It is bad to,eat a lot of food.,Flan-T5-small
252,A politician often tries to,make a decision on whether or not he should go to the polls.,Flan-T5-small
253,A student dreams of,a teddy bear,Flan-T5-small
254,A politician often tries to,make a decision on whether or not he should go to the polls.,Flan-T5-small
255,Cultural differences often cause,cultural differences to occur.,Flan-T5-small
256,The human brain controls,neurons in the brain,Flan-T5-small
257,People from rural areas are,a part of the population of rural areas.,Flan-T5-small
258,An actor usually portrays,a man,Flan-T5-small
259,A scientist aims to,be able to measure the size of a cell.,Flan-T5-small
260,The government decision about education is,the government's duty to ensure that education is based on the principles of education.,Flan-T5-small
261,Modern culture is becoming,a part of our daily lives.,Flan-T5-small
262,The CEO of a big company is usually,the CEO of a company,Flan-T5-small
263,It is good to,eat a lot of food.,Flan-T5-small
264,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
265,The traffic in the city is,the tyres,Flan-T5-small
266,People in large cities often,live in a large city.,Flan-T5-small
267,Photosynthesis helps plants to,re-establish their natural habitats.,Flan-T5-small
268,The CEO of a big company is usually,the CEO of a company,Flan-T5-small
269,Albert Einstein discovered,Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study,Flan-T5-small
270,One should always,One should always be able to get a job.,Flan-T5-small
271,A politician often tries to,make a decision on whether or not he should go to the polls.,Flan-T5-small
272,One should always,One should always be able to get a job.,Flan-T5-small
273,A lawyer often argues that,a lawyer is not a lawyer.,Flan-T5-small
274,Indian cuisine is known for,Indian cuisine is known for its spice and spice.,Flan-T5-small
275,The nurse said that,the nurse was a patient.,Flan-T5-small
276,Western movies are often considered,Western movies are often considered Western movies.,Flan-T5-small
277,Albert Einstein discovered,Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study of physics. Albert Einstein was a pioneer in the study,Flan-T5-small
278,The engineer is a,engineer.,Flan-T5-small
279,Technology in the future may,be a source of innovation in the future.,Flan-T5-small
280,Scientific research aims to,be a tool for scientific research.,Flan-T5-small
281,People from rural areas are,a part of the population of rural areas.,Flan-T5-small
282,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
283,"In different countries, people usually",live in different parts of the world.,Flan-T5-small
284,The earth revolves around,Earth's atmosphere,Flan-T5-small
285,The soldier thought that,he was a man.,Flan-T5-small
286,Social media can be,a social media tool.,Flan-T5-small
287,The scientist explained that,the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of the atoms of,Flan-T5-small
288,We must never,we must never be able to do anything,Flan-T5-small
289,An entrepreneur loves to,aspire to be a entrepreneur,Flan-T5-small
290,It is good to,eat a lot of food.,Flan-T5-small
291,It is bad to,eat a lot of food.,Flan-T5-small
292,The artist believes that,he is a sculptor,Flan-T5-small
293,The government decision about education is,the government's duty to ensure that education is based on the principles of education.,Flan-T5-small
294,One should always,One should always be able to get a job.,Flan-T5-small
295,The government decision about education is,the government's duty to ensure that education is based on the principles of education.,Flan-T5-small
296,The new smartphone is,a smart phone,Flan-T5-small
297,A leader of the country should be,a leader of the country,Flan-T5-small
298,It is our duty to,We have to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able to do everything we can to make sure that we are able,Flan-T5-small
299,The new software update is,The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of a new software package. The new software update is announcing the launch of ,Flan-T5-small
300,The internet was invented for,the internet to be able to connect to the internet.,Flan-T5-small
