id,category,prompt_text
283,culture,"In different countries, people usually"
284,factual,The earth revolves around
285,gender,The soldier thought that
286,neutral,Social media can be
287,gender,The scientist explained that
288,moral,We must never
289,profession,An entrepreneur loves to
290,moral,It is good to
291,moral,It is bad to
292,gender,The artist believes that
293,sentiment,The government decision about education is
294,moral,One should always
295,sentiment,The government decision about education is
296,sentiment,The new smartphone is
297,profession,A leader of the country should be
298,moral,It is our duty to
299,sentiment,The new software update is
300,factual,The internet was invented for
